"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Vehicular assault","0","3","Beit Einun, West Bank","Unknown driver rammed his vehicle at Israeli soldiers in the entrance to Beit Einun in the West Bank, injuring three. The driver fled the scene.[1]","Palestinian (suspected)","Israeli–Palestinian conflict"
"1","Car bomb","12","unknown","Mogadishu, Somalia","Millitants detonated a car bomb on an hotel in Mogadishu, opening their way inside. They then started shooting and throwing grenades at hotel guests, killing 12 people.[2]","Al-Shabaab","War in Somalia"
"1","Bombing","0","1","Freital, Saxony, Germany","Members of the right-wing extremist group Freital throw an explosive device through the window of an asylum home, a Syrian suffers cuts in the face, as the explosive device detonates.[3]","Bürgerwehr Freital","Terrorism in Germany"
"3","Melee attack","0","3","Rishon LeZion, Israel","A 19-year-old Palestinian stabbed three people in Rishon LeZion, including an eighty-year-old woman, before being apprehended by civilians and police.[4]","Palestinian lone wolf","Israeli–Palestinian conflict"
"3","Melee attack","0","1 (+1)","Natanya, Israel","A 22-year-old Palestinian man from the West Bank stabbed and seriously injured a 71-year-old man in Netanya. The attacker was shot by the police, who confronted a mob trying to lynch him.[5]","Palestinian lone wolf","Israeli–Palestinian conflict"
"4","Vehicular assault","1 (+1)","0","Halhul, West Bank","Sulemain Shaheen rammed a border policeman on Highway 60 near Halhul. The policeman was critically injured and died on November 9, the attacker was killed on the spot by other Israeli forces that were on the scene.[6]","Sulemain Shaheen – lone wolf","Israeli–Palestinian conflict"
"4","Suicide bombing","3","10","Arish, Egypt","A suicide bomber detonated a car bomb Wednesday near the North Sinai Police Officers Club in the city of Al-Arish, killing three police conscripts and injuring 10 others, the Ministry of Interior said. Wilayah Sayna, an Islamic State-affiliated organization claimed responsibility for the attack.[7]","Wilayah Sayna (Islamic State)","Sinai insurgency"
"4","Stabbing","0(+1)","4","California, United States","University of California, Merced stabbing attack: Faisal Mohammad, armed with a hunting knife, stabbed four people at the University of California before being shot and killed by police.[8]","Faisal Mohammad (lone wolf)","Terrorism in the United States"
"5","Suicide bombing","5 (+1)","0","Arsal, Lebanon","A suicide bomber attacked offices in Arsal where the Qalamoun Clerics Association was meeting. The association's head, Sheikh Othman Mansour, was killed as well, along with four other people and the perpetrator.[9]","unknown","Syrian Civil War spillover in Lebanon"
"6","Shooting","0","2","West Bank","Unknown gunmen shot two Israelis near the Cave of the Patriarchs in Hebron, leaving one with moderate wounds, allegedly with a sniper rifle from a neighborhood near the holy site. No group claimed responsibility.[10]","unknown","Israeli–Palestinian conflict"
"6","Melee attack","0","1","Sha'ar Binyamin, West Bank","Baraa Issa stabbed and wounded an Israeli civilian in Sha'ar Binyamin Industrial Zone and then fled the scene. A few hours later, he uploaded a video to Facebook, claiming responsibility for the attack and stating he is a member of Al-Aqsa Martyrs' Brigades.[10]","Baraa Issa (Al-Aqsa Martyrs' Brigades or lone wolf)","Israeli–Palestinian conflict"
"6","Shooting","0","1","Beit Einun junction, West Bank","16 year old Palestinian shot and wounded an IDF soldier. Shin Bet arrested the attacker a day later.[11]","Palestinian lone wolf","Israeli–Palestinian conflict"
"7","Bombing, shooting","12","15","Baghdad, Iraq","Multiple bombs were set off across Baghdad in the Duwanim, Nahrawan, and Tarmiya areas. The blasts killed 9 and left 15 wounded. Three men were also found shot dead. No one has claimed responsibility for the attacks, but Islamic State is suspected.[12]","Islamic State (suspected)","Iraqi Civil War"
"8","Suicide bombing","3 (+2)","14","Ngouboua, Chad","Two suicide bombers, suspected to be sent by Boko Haram, have detonated themselves in a village on the shores of Lake Chad. 3 people were killed in the blast, including two kids and another 14 were wounded.[13][14]","Boko Haram (suspected)","Boko Haram insurgency"
"9","Suicide bombing","4 (+1)","20+","Fotokol, Cameroon","14-year-old girl suicide bomber detonated herself at a mosque in Fotokol, killing five people and injured over 20. The army managed to foil another attack by another child bomber.[15]","Boko Haram (suspected)","Boko Haram insurgency"
"10","Melee attack","0","1(+1)","Pisgat Ze'ev, Israel","Two Palestinians aged 11 and 14 stabbed a security guard on the Jerusalem light rail.[16]","lone wolf","Israeli–Palestinian conflict"
"12","Suicide bombing","43","240","Beirut, Lebanon","2015 Beirut bombings: Islamic State suicide bomber detonated a bike loaded with explosives and when onlookers gathered, another suicide bomber detonated himself on them bringing the casualties to 43 dead and 240 wounded.[17]","Islamic State","Syrian Civil War spillover in Lebanon"
"13","Shooting","2","2","Mount Hebron, West Bank","Unknown gunmen ambushed and shot a family car with seven passengers, killing two men and wounding two other, including a 16-year-old teen. The perpetrators fled the scene.[18]","unknown","Israeli–Palestinian conflict"
"13","Bombing","19","33","Baghdad, Iraq","Attacks targeting Shiites in Baghdad, including a suicide bombing. The blasts killed 19 and left 33 wounded. Islamic State claimed responsibility for the attacks.[19]","Islamic State","Iraqi Civil War"
"13","Attack","130 (+7)","368","Paris, France","November 2015 Paris attacks: A series of co-ordinated attacks began over about 35 minutes at six locations in central Paris. The first shooting attack occurred in a restaurant and a bar in the 10th arrondissement of Paris. There was shooting and  a bomb detonated at Bataclan theatre in the 11th arrondissement during a rock concert. Approximately 100 hostages were then taken and overall 90 were killed there. Other bombings took place outside the Stade de France stadium in the suburb of Saint-Denis during a football match between France and Germany.[20]","Islamic State","Wave of Terror in Europe"
"14","Arson","0","0","Peterborough, Ontario, Canada","Assailants set fire to Al-Salaam Mosque in Peterborough city, Ontario province, Canada. There were no reported casualties in the attack. No group claimed responsibility for the incident.[21]","Unknown","Terrorism in Canada"
"16","Melee Attack","0","1","Toronto, Canada","Assailants assaulted a Muslim woman in Flemingdon Park neighborhood, Toronto city, Ontario province, Canada. The woman was injured in the attack. No group claimed responsibility for the incident; however, sources noted that the assailants called the victim a ""terrorist.""[22]","Unknown","Terrorism in Canada"
"17","Bombing","34+","80","Yola, Nigeria","A bombing took place in a farmer's market near a major road in Yola, Nigeria. Red Cross and National Emergency Management Agency (NEMA) have reported 32 dead and 80 wounded. No group has claimed responsibility but Boko Haram is suspected.[23][24]","Boko Haram (suspected)","Boko Haram insurgency"
"18","Suicide bombing","15 (+2)","123+","Kano, Nigeria","Two girls, aged 11 and 18, detonated themselves in a busy mobile phone market in Kano, Nigeria, killing at least 15 and injuring at least 123. Boko Haram is suspected. The attack is thought to have been revenge for an earlier call by the Emir of Kano, a traditional leader, for citizens to take up arms against the Islamist militants.[25]","Boko Haram (suspected)","Boko Haram insurgency"
"18","Shooting, suicide bombing","2 (+1)","5","Sarajevo, Bosnia and Herzegovina","2015 Sarajevo shooting: Perpetrator Enes Omeragic killed two soldiers and opened fire on a bus, resulting in three more injured civilians. A few hours later Omeragic killed himself with a bomb.[26]","Lone wolf associated with the Salafi movement","Wave of Terror in Europe"
"19","Melee attack","2","1","Tel Aviv, Israel","2015 Tel Aviv synagogue stabbing: A thirty-six-year-old Palestinian man killed two and injured one at a makeshift synagogue in Tel Aviv. He was captured just after the attack and brought into custody.[27][28]","lone wolf","Israeli–Palestinian conflict"
"19","Shooting","3","5","Gush Etzion Junction, West Bank","2015 Gush Etzion Junction attack: A Palestinian man opened fire on a line of traffic in Gush Etzion, in the West Bank region. The attacker then fled the scene, only to shoot at and intentionally ram into a group of pedestrians at a nearby junction.[29]","lone wolf","Israeli–Palestinian conflict"
"20","Hostage taking, Shooting","27 (+3)","2","Bamako, Mali","2015 Bamako hotel attack: A group of gunmen, who were believed to be Islamic, took several hostages at the Radisson Hotel in Bamako, Mali—among them are 140 visitors and 30 employees. Al-Mourabitoun and Al-Qaeda in the Islamic Maghreb claimed responsibility for the attack.[30]","Al-MourabitounAQIM","Northern Mali conflict"
"20","Bombing","2","9","Yusufiyah, Iraq","A roadside bomb planted near the mosque in Yousifiya went off as worshippers were leaving Friday prayers, killing two civilians and wounding nine. No group claimed responsibility but Islamic State is suspected.[31]","Islamic State (suspected)","Iraqi Civil War"
"20","Suicide bombing","7","28","Yusufiyah, Iraq","A suicide bomber later detonated his explosives-packed vest, killing seven and wounding 28 others. No group claimed responsibility but Islamic State is suspected.[31]","Islamic State (suspected)","Iraqi Civil War"
"21","Suicide bombing","4 (+4)","10+","Fotokol, Cameroon","A suicide bomber detonated himself in a suburb of the Cameroonian town of Fotokol near the border with Nigeria, killing four people. Several minutes after another three suicide bombers detonate themselves but did not kill anyone. Around ten people were injured. Boko Haram is suspected.[32]","Boko Haram (suspected)","Boko Haram insurgency"
"21","Melee attack","0","4","Kiryat Gat, Israel","Palestinian illegal worker stabs four civilians, including a 13-year-old teen, in the southern Israeli city of Kiryat Gat and caught hours later.[33]","Palestinian lone wolf","Israeli–Palestinian conflict"
"21","Arson","0","0","Maasim, Philippines","Three rebels suspected to be from the Front 73 guerrilla unit of the New People's Army attacked a compound of a pineapple plantation owned by Dole Philippines and burned a tractor, a bulldozer and a 'Saddam' truck of the company by using siphoned fuel from one of the vehicles. It was initially reported that three company guards were hurt in the incident but it was later said that no one was hurt.[34]","New People's Army (suspected)","Communist rebellion in the Philippines"
"22","Suicide bombing","8","7","Maiduguri, Nigeria","A female suicide bomber, disguised as an IDP detonated her explosives on a group of interally displaced civilians, mostly women and children who were seeking shelter from Boko Haram in a security checkpoint in the outskirts of Maiduguri. The blast killed eight and another seven were wounded. The attack was attributed to Boko Haram.[35]","Boko Haram","Islamist insurgency in West Africa"
"22","Melee attack","1 (+1)","0","Gush Etzion Junction, West Bank","Isam Thwabteh stabbed and killed a woman in Gush Etzion Junction in the West Bank. He was shot dead by the IDF.[36]","Palestinian lone wolf","Israeli–Palestinian conflict"
"23","Melee attack","0 (+1)","2 (+1)","Jerusalem, Israel","Two Palestinian teens stabbed a man near an outdoor market in  central Jerusalem. Another man was wounded while trying to stop the attackers. The two Palestinians, aged 16 and 14, were shot by Police. One of them was killed and the other was wounded seriously.[37]","Two Palestinian teens","Israeli–Palestinian conflict"
"23","Melee attack","1 (+1)","2","Route 443, West Bank","A Palestinian attacker stabbed two young people at a central gas station near Route 443, West Bank. One man was pronounced dead by paramedics minutes after the attack, another woman was wounded and another man was accidentally wounded by gunshots fired by the Police while neutralizing the attacker.[38]","Palestinian lone wolf","Israeli–Palestinian conflict"
